HEATFUEL,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf,Total
 Piped gas,898394.2307692309,1127942.9250891795,1119304.347826087,1271537.335285505,1113677.1159874608,1142992.6739926739,1831461.9450317123,1531171.679197995,1089011.5384615385,1100125.1989051094,954949.625,925544.008016032,14106112.623562522
 LP (liquid petroleum) gas,35846.153846153844,54577.883472057074,114474.30830039526,119048.31625183017,61087.774294670846,65626.37362637364,114307.6109936575,100444.86215538846,91403.84615384616,79827.67883211678,31481.85576923077,44681.43486973948,912808.09856546
Fuel oil/kerosene,8961.538461538461,20214.030915576695,21198.945981554676,2532.94289897511,9398.119122257052,2734.4322344322345,30482.02959830867,19598.997493734336,0.0,9978.459854014598,2623.487980769231,4255.3747494989975,131978.35929066004
 Electricity,443596.1538461538,479072.5326991676,339183.1357048748,314084.9194729136,291341.6927899686,235161.17216117214,375945.03171247354,271936.0902255639,156692.3076923077,152171.51277372264,94445.56730769231,72341.37074148297,3225971.4871274936
Electric heat pump,8961.538461538461,26278.2401902497,29678.524374176548,27862.371888726208,25844.827586206895,19141.02564102564,48263.21353065539,34298.245614035084,15669.23076923077,22451.53467153285,20987.903846153848,12766.124248496993,292202.78082202846
Electric non-heat pump,434634.6153846154,452794.2925089179,309504.61133069824,286222.5475841874,265496.8652037617,216020.14652014652,327681.8181818182,237637.84461152882,141023.0769230769,129719.9781021898,73457.66346153847,59575.24649298598,2933768.706305465
Space heat non-heat pump fraction,0.9797979797979799,0.9451476793248945,0.9124999999999999,0.9112903225806452,0.9112903225806451,0.9186046511627908,0.8716216216216217,0.8738738738738739,0.8999999999999999,0.8524590163934426,0.7777777777777778,0.823529411764706,0.9094217720187555
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Has running hot water with piped gas water heater,875990.3846153846,1034958.3828775267,1030268.7747035573,1144890.1903367497,1043191.2225705328,1050021.9780219782,1747636.3636363638,1438076.441102757,1042003.8461538462,1040254.4397810219,889362.4254807692,917033.258517034,13253687.707797522
 Has running hot water with LP gas water heater,22403.846153846152,24256.837098692034,67836.62714097498,70922.40117130308,32893.416927899685,51954.21245421246,73664.90486257928,53897.24310776942,54842.307692307695,49892.29927007299,26234.87980769231,38298.37274549098,567097.348432841
Fuel oil,0.0,2021.4030915576693,4239.789196310936,0.0,0.0,0.0,0.0,2449.874686716792,0.0,0.0,2623.487980769231,0.0,11334.554955354628
 Has running hot water with electric water heater,488403.8461538461,632699.1676575505,493935.44137022394,506588.579795022,420565.8307210032,380086.08058608056,574078.22410148,455676.6917293233,255930.76923076922,274407.64598540147,173150.20673076922,102128.99398797595,4757651.478049445
Electric heat pump,5372.442307692307,6959.690844233056,5433.289855072463,5572.474377745241,4626.224137931034,4180.946886446886,6314.86046511628,5012.443609022556,2815.2384615384613,3018.484105839416,1904.6522740384612,1123.4189338677354,52334.16625854389
Electric non-heat pump,483031.4038461538,625739.4768133175,488502.1515151515,501016.10541727673,415939.60658307216,375905.13369963365,567763.3636363636,450664.24812030076,253115.53076923077,271389.1618795621,171245.55445673075,101005.57505410821,4705317.311790901
Water heat non-heat pump fraction,0.989,0.989,0.989,0.989,0.9890000000000001,0.989,0.9889999999999999,0.9890000000000001,0.989,0.9890000000000001,0.989,0.989,0.989
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Piped gas,613865.3846153846,660998.8109393578,663527.0092226615,772547.5841874084,721305.6426332289,664467.032967033,1163397.463002114,950551.3784461152,668553.8461538462,720943.7244525547,627013.6274038461,674476.8977955912,8901648.401819142
 LP gas (liquid propane),13442.307692307693,24256.837098692034,65716.73254281949,70922.40117130308,39942.00626959248,41016.48351648352,76205.07399577167,48997.49373433584,41784.61538461539,34924.609489051094,7870.463942307692,23404.56112224449,488483.58595952444
 Other,2240.3846153846152,0.0,2119.894598155468,0.0,2349.529780564263,0.0,0.0,0.0,5223.076923076924,0.0,2623.487980769231,2127.6873747494988,16684.061272699997
 Electric,761730.7692307691,1008680.142687277,864916.9960474308,883997.0717423134,733053.2915360502,787516.4835164836,1158317.1247357295,955451.1278195488,639826.9230769231,611180.6660583941,453863.42067307694,361706.8537074148,9220240.87083141
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Working piped gas powered clothes dryer,313653.8461538462,414387.63376932224,421859.0250329381,531918.0087847731,491051.724137931,503135.53113553114,927161.7336152219,754561.4035087719,616323.0769230769,591223.746350365,569296.8918269231,610646.2765531063,6745218.897791807
 Working LP (liquefied petroleum) gas clothes dryer,6721.153846153847,8085.612366230677,19079.051383399208,20263.54319180088,9398.119122257052,27344.322344322347,17781.18393234672,24498.74686716792,18280.76923076923,17462.304744525547,10493.951923076924,8510.749498997995,187919.50845104834
 Working electric power clothes dryer,490644.23076923075,632699.1676575505,788600.790513834,818140.5563689604,751849.5297805642,773844.3223443225,1198959.8308668076,1053446.1152882206,663330.7692307692,703481.4197080291,469604.3485576923,412771.3507014028,8757372.431787385
