HEATFUEL,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf,Total
 Piped gas,740263.3587786261,485190.66937119677,643431.554524362,734899.3288590604,698867.6470588235,643829.0598290599,1102259.3800978793,806567.1641791044,613097.5609756098,765291.0383631714,757422.9281767956,994009.8530805686,8985129.543294258
 LP (liquid petroleum) gas,19263.358778625952,36446.247464503045,30907.192575406032,41154.36241610738,45088.23529411765,30179.48717948718,85040.78303425775,75718.55010660981,35853.65853658537,53704.63427109975,58528.13535911602,71000.70379146919,582885.3488073851
Fuel oil/kerosene,222904.58015267176,207288.03245436103,250067.28538283065,264563.7583892617,219000.0,217962.96296296298,389225.1223491028,302874.20042643923,211536.58536585365,234957.77493606138,189355.7320441989,190580.836492891,2900316.870956635
 Electricity,451312.9770992367,371296.14604462474,264116.00928074244,255744.966442953,296294.11764705885,241435.89743589744,359787.92822185974,325918.9765458422,286829.26829268294,245027.39386189257,223784.04696132598,298950.33175355446,3620498.059587672
Electric heat pump,19263.358778625952,31890.46653144016,16858.4686774942,26456.37583892617,22544.117647058825,26826.210826210827,75228.3849918434,59257.99573560768,43024.39024390244,53704.63427109975,65413.798342541435,74737.58293838862,515205.7848231395
Electric non-heat pump,432049.6183206107,339405.6795131846,247257.54060324823,229288.59060402683,273750.0,214609.6866096866,284559.54323001637,266660.9808102345,243804.8780487805,191322.75959079282,158370.24861878454,224212.74881516583,3105292.274764532
Space heat non-heat pump fraction,0.9573170731707317,0.9141104294478528,0.9361702127659574,0.896551724137931,0.9239130434782608,0.888888888888889,0.790909090909091,0.8181818181818181,0.85,0.7808219178082191,0.7076923076923077,0.75,0.8576975387519432
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Has running hot water with piped gas water heater,762278.6259541984,510247.4645030426,688387.4709976797,758416.1073825504,743955.8823529412,663948.717948718,1148050.5709624798,855948.8272921109,613097.5609756098,798856.4347826088,778079.9171270718,1020168.0071090047,9341435.587388016
 Has running hot water with LP gas water heater,24767.175572519085,22778.9046653144,22477.95823665893,32335.57046979866,35426.470588235294,16766.381766381768,88311.5823817292,75718.55010660981,43024.39024390244,57061.17391304348,37871.14640883978,78474.46208530806,535013.7664383409
Fuel oil,159610.68702290076,113894.523326572,109580.04640371229,164617.44966442953,119161.76470588235,130777.77777777777,238768.35236541598,158021.32196162047,125487.80487804877,134261.58567774936,141156.091160221,164422.68246445496,1759760.0874087855
 Has running hot water with electric water heater,473328.24427480914,455578.093306288,384935.0348027842,335114.0939597316,399352.94117647054,348740.74074074073,516786.29690048937,447727.078891258,387219.51219512196,315514.726342711,285755.0138121547,306424.0900473934,4656475.866449952
Electric heat pump,5206.6106870229005,5011.359026369168,4234.285382830626,3686.255033557047,4392.882352941176,3836.148148148148,5684.649265905383,4924.997867803838,4259.414634146341,3470.661989769821,3143.3051519337014,3370.664990521327,51221.23453094947
Electric non-heat pump,468121.63358778623,450566.73427991883,380700.74941995356,331427.8389261745,394960.05882352934,344904.5925925926,511101.647634584,442802.08102345414,382960.09756097564,312044.0643529412,282611.708660221,303053.4250568721,4605254.631919002
Water heat non-heat pump fraction,0.989,0.989,0.9889999999999999,0.9889999999999999,0.9889999999999999,0.989,0.989,0.989,0.9890000000000001,0.989,0.9890000000000001,0.989,0.9889999999999999
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Piped gas,800805.3435114503,501135.90263691684,643431.554524362,761355.7046979866,705308.8235294117,583470.0854700855,1134967.3735725938,813151.3859275052,641780.4878048782,711586.4040920716,757422.9281767956,1053799.9194312796,9108215.913375337
 LP gas (liquid propane),33022.900763358775,38724.137931034486,64624.12993039443,70550.3355704698,103058.82352941176,73772.07977207977,124290.37520391517,105347.54797441364,68121.9512195122,70487.33248081841,68856.62983425414,112106.37440758293,932962.6186172455
 Other,2751.9083969465646,0.0,0.0,0.0,3220.5882352941176,0.0,6541.598694942904,0.0,0.0,0.0,0.0,0.0,12514.095327183586
 Electric,572396.9465648854,567194.7261663285,494515.0812064965,473275.1677852349,499191.1764705882,506344.72934472933,735929.8531810766,622208.9552238806,462512.1951219512,530333.26342711,420025.4419889503,411056.7061611375,6294984.24264237
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Working piped gas powered clothes dryer,187129.7709923664,127561.86612576064,230399.07192575405,241046.9798657718,267308.82352941175,258202.2792022792,415391.5171288744,342379.5309168444,311926.8292682927,443063.23273657286,402811.28453038674,620321.9383886256,3847543.12461094
 Working LP (liquefied petroleum) gas clothes dryer,0.0,4555.780933062881,19668.213457076567,29395.97315436242,19323.529411764706,13413.105413105413,26166.394779771617,23044.776119402984,17926.829268292684,30208.856777493605,13771.325966850829,44842.549763033174,242317.33504421686
 Working electric power clothes dryer,379763.35877862596,346239.3509127789,466417.6334106729,549704.6979865772,624794.1176470588,573410.2564102564,1033572.5938009787,865825.1599147122,645365.8536585367,654525.2301790281,650695.1519337017,728691.4336492891,7519004.838282217
