HEATFUEL,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf,Total
 Piped gas,267733.9743589744,263199.3569131833,270997.04142011836,279145.896656535,254359.55056179778,290192.5925925926,538175.5888650963,456357.5129533679,346472.52747252746,297745.05078125,253809.24107142858,302557.9837398374,3820746.317386709
 LP (liquid petroleum) gas,18195.51282051282,22138.263665594855,11198.224852071005,23069.908814589668,15415.730337078652,7377.777777777778,44847.96573875803,17082.901554404143,28168.49816849817,23444.4921875,19906.60714285714,17797.528455284555,248643.41151492682
Fuel oil/kerosene,7798.076923076924,7379.421221864952,0.0,9227.963525835867,5138.576779026217,0.0,0.0,2440.414507772021,0.0,0.0,0.0,0.0,31984.45295757598
 Electricity,488679.4871794871,452604.501607717,470325.4437869822,440635.2583586626,385393.2584269663,351674.0740740741,706355.4603854389,453917.0984455958,385908.4249084249,274300.55859375,273715.8482142857,222469.1056910569,4905978.51967244
Electric heat pump,140365.38461538462,110691.31832797428,141097.6331360947,136112.46200607903,146449.4382022472,174607.4074074074,269087.79443254817,185471.50259067357,154926.73992673995,114878.01171875,106998.01339285714,111234.55284552845,1791920.2586022841
Electric non-heat pump,348314.1025641025,341913.1832797427,329227.81065088755,304522.79635258357,238943.82022471912,177066.66666666672,437267.6659528907,268445.59585492226,230981.68498168496,159422.546875,166717.83482142852,111234.55284552845,3114058.2610701565
Space heat non-heat pump fraction,0.7127659574468085,0.7554347826086956,0.7,0.6910994764397905,0.62,0.5034965034965035,0.619047619047619,0.5913978494623656,0.5985401459854014,0.5811965811965812,0.609090909090909,0.5,0.63474763466312
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Has running hot water with piped gas water heater,384705.1282051282,263199.3569131833,331467.4556213018,332206.6869300912,310883.8951310861,356592.59259259264,650295.5032119914,532010.3626943005,430978.021978022,332911.7890625,303575.7589285714,347051.8048780488,4575878.356146817
 Has running hot water with LP gas water heater,33791.666666666664,27057.877813504823,13437.869822485207,25376.89969604863,30831.460674157304,14755.555555555557,42044.96788008565,31725.38860103627,25351.648351648353,25788.94140625,27371.584821428572,22246.91056910569,319780.7718579728
Fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Has running hot water with electric water heater,389903.8461538462,472282.958199357,407615.3846153846,401416.4133738602,341715.3558052434,292651.85185185185,613856.5310492505,375823.83419689117,309853.4798534799,239133.8203125,226437.65625,175750.59349593497,4246441.7251576
Electric heat pump,4288.942307692308,5195.112540192927,4483.7692307692305,4415.580547112461,3758.8689138576774,3219.17037037037,6752.421841541755,4134.062176165803,3408.3882783882786,2630.4720234375,2490.81421875,1933.2565284552845,46710.858976733594
Electric non-heat pump,385614.9038461539,467087.845659164,403131.6153846154,397000.83282674773,337956.48689138575,289432.6814814815,607104.1092077087,371689.77202072536,306445.0915750916,236503.3482890625,223946.84203125,173817.33696747967,4199730.866180866
Water heat non-heat pump fraction,0.989,0.9889999999999999,0.989,0.989,0.989,0.989,0.989,0.989,0.9889999999999999,0.989,0.989,0.9889999999999999,0.989
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Piped gas,220945.5128205128,162347.26688102892,197088.7573964497,170717.32522796353,149018.7265917603,172148.14814814815,271890.79229122057,309932.64248704666,273234.43223443226,182867.0390625,174182.8125,249165.39837398374,2533538.8540150467
 LP gas (liquid propane),25993.589743589742,41816.72025723473,33594.674556213016,25376.89969604863,25692.883895131086,22133.333333333332,47650.963597430404,24404.145077720204,22534.798534798534,21100.04296875,22394.933035714286,22246.91056910569,334939.8952650697
 Other,5198.717948717948,0.0,0.0,2306.9908814589667,0.0,0.0,0.0,4880.829015544042,0.0,2344.44921875,2488.3258928571427,2224.6910569105694,19444.004014238664
 Electric,551064.1025641026,553456.5916398714,524076.92307692306,553677.811550152,508719.10112359555,469718.5185185185,986655.2462526767,602782.3834196891,473230.76923076925,391523.01953125,358318.9285714286,273637.0,6246860.395478976
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Working piped gas powered clothes dryer,103974.35897435897,41816.72025723473,73908.28402366863,66902.73556231003,79647.94007490636,86074.07407407407,134543.89721627408,151305.69948186527,126758.24175824175,98466.8671875,69673.125,86762.9512195122,1119834.894829946
 Working LP (liquefied petroleum) gas clothes dryer,2599.358974358974,7379.421221864953,2239.644970414201,2306.9908814589667,2569.2883895131085,4918.518518518519,14014.989293361883,9761.658031088084,2816.8498168498168,7033.34765625,4976.651785714285,4449.382113821139,65066.10165321393
 Working electric power clothes dryer,457487.1794871795,511639.87138263666,526316.5680473372,565212.7659574468,529273.4082397004,536118.5185185185,1076351.1777301927,754088.0829015544,619706.9597069598,480612.08984375,477758.5714285714,447162.90243902436,6981728.0956828715
