HEATFUEL,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf,Total
 Piped gas,185042.65402843602,179859.92217898834,194502.28310502283,214394.08866995072,184022.85714285716,148040.81632653062,293106.38297872344,254375.0,199279.5698924731,267083.52631578944,245967.53526970954,317205.7904761905,2682880.426384671
 LP (liquid petroleum) gas,15061.611374407585,26894.941634241244,21141.552511415524,18246.305418719214,13302.857142857143,19102.04081632653,57191.48936170213,30062.5,32440.860215053766,25436.526315789473,19418.489626556016,28285.86666666667,306585.0410837353
Fuel oil/kerosene,75308.05687203792,85727.62645914397,107821.91780821916,120881.77339901478,119725.71428571429,114612.24489795919,202553.1914893617,196562.5,129763.44086021507,197133.07894736843,187712.0663900415,214164.41904761907,1751966.030456695
 Electricity,176436.01895734598,132793.77431906614,124735.1598173516,104916.25615763546,64297.142857142855,59693.87755102041,100085.10638297872,64750.0,53295.69892473119,67830.73684210525,53940.248962655605,66673.82857142857,1069447.8493434617
Electric heat pump,10758.293838862559,6723.735408560311,8456.62100456621,13684.729064039408,8868.57142857143,4775.510204081633,9531.91489361702,6937.5,4634.408602150538,12718.263157894737,8630.439834024895,12122.514285714287,107842.50172208303
Electric non-heat pump,165677.72511848342,126070.03891050583,116278.53881278538,91231.52709359606,55428.57142857143,54918.36734693877,90553.19148936169,57812.5,48661.29032258065,55112.47368421052,45309.80912863071,54551.31428571429,961605.3476213786
Space heat non-heat pump fraction,0.9390243902439024,0.9493670886075949,0.9322033898305084,0.8695652173913043,0.8620689655172414,0.9199999999999999,0.9047619047619048,0.8928571428571429,0.9130434782608696,0.8125,0.8400000000000001,0.8181818181818182,0.8991605791827175
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Has running hot water with piped gas water heater,195800.9478672986,164731.51750972762,198730.59360730593,198428.57142857142,197325.7142857143,164755.10204081633,312170.21276595746,279812.5,192327.95698924732,275562.36842105264,239494.70539419085,329328.3047619048,2748468.4950717874
 Has running hot water with LP gas water heater,10758.293838862559,20171.206225680933,27484.018264840182,13684.729064039408,8868.57142857143,19102.04081632653,64340.425531914894,25437.5,32440.860215053766,23316.815789473683,28048.929460580915,32326.704761904763,305980.0953972491
Fuel oil,43033.175355450236,48747.08171206226,73995.43378995433,66142.85714285714,84251.42857142857,71632.6530612245,138212.7659574468,143375.0,92688.17204301075,144140.31578947368,140244.64730290454,157592.68571428573,1204056.2164400986
 Has running hot water with electric water heater,197952.6066350711,194988.32684824904,162789.95433789954,180182.26600985223,95337.14285714286,93122.44897959185,154893.6170212766,104062.5,111225.8064516129,120823.5,107880.49792531121,113143.46666666667,1636402.1337326742
Electric heat pump,2177.478672985782,2144.871595330739,1790.689497716895,1982.0049261083745,1048.7085714285713,1024.3469387755104,1703.8297872340424,1144.6875,1223.4838709677417,1329.0584999999999,1186.6854771784233,1244.5781333333334,18000.423471059414
Electric non-heat pump,195775.12796208533,192843.4552529183,160999.26484018264,178200.26108374386,94288.43428571428,92098.10204081633,153189.78723404254,102917.8125,110002.32258064515,119494.4415,106693.81244813278,111898.88853333335,1618401.7102616148
Water heat non-heat pump fraction,0.989,0.989,0.989,0.989,0.9889999999999999,0.9889999999999999,0.989,0.989,0.989,0.989,0.989,0.989,0.989
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Piped gas,139857.81990521328,126070.03891050584,147990.86757990866,152812.8078817734,141897.14285714287,119387.75510204081,226382.97872340426,222000.0,148301.07526881722,218330.18421052632,222233.82572614108,280838.2476190476,2146102.7437845212
 LP gas (liquid propane),15061.611374407585,25214.00778210117,38054.79452054794,27369.458128078815,24388.57142857143,19102.04081632653,83404.25531914894,48562.5,34758.06451612903,31795.65789473684,47467.41908713693,82837.18095238096,478015.5618195662
 Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Electric,299080.56872037915,280715.953307393,276954.3378995434,282817.7339901478,221714.2857142857,212510.20408163266,362212.7659574468,284437.5,247940.86021505378,313717.1578947368,248125.14522821578,272756.5714285714,3302983.084437406
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Working piped gas powered clothes dryer,30123.22274881517,30256.8093385214,31712.328767123287,45615.76354679803,42125.71428571428,50142.85714285714,83404.25531914894,92500.0,71833.33333333333,76309.57894736841,84146.78838174274,94959.69523809524,733130.347049518
 Working LP (liquefied petroleum) gas clothes dryer,2151.658767772512,13447.470817120622,12684.931506849314,0.0,4434.285714285715,4775.510204081633,14297.872340425532,11562.5,4634.408602150538,19077.394736842103,19418.489626556016,16163.352380952381,122647.87469703636
 Working electric power clothes dryer,150616.11374407582,186583.65758754866,255812.78538812787,269133.00492610835,228365.71428571426,226836.73469387757,443234.0425531915,390812.5,298919.3548387097,390026.7368421052,381896.9626556017,509145.60000000003,3731383.207515061
