HEATFUEL,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf,Total
 Piped gas,463820.4334365325,543335.5780022447,624871.2206047033,677853.7200504413,611800.0,635893.8775510204,1173371.8244803695,974917.9580674567,932497.5369458129,931029.0585365853,1041358.9223484849,1435582.5017568516,10046332.631780501
 LP (liquid petroleum) gas,23927.244582043342,14186.307519640852,21337.066069428893,15366.960907944516,18400.0,17374.149659863946,23301.00076982294,38045.578851412945,9088.669950738917,27791.912195121953,32869.291666666664,37102.52986647927,278790.71203916427
Fuel oil/kerosene,14724.458204334365,9930.415263748597,9144.456886898097,6829.760403530895,10733.333333333334,8687.074829931973,18307.92917628945,9511.394712853235,21812.8078817734,12351.960975609756,19422.763257575756,14270.203794799718,155726.5587206786
 Electricity,642354.4891640868,648314.253647587,653828.6674132139,604433.7957124842,481466.6666666666,583771.4285714285,860472.6712856044,661041.9325432999,483517.2413793103,563558.2195121951,452699.78977272724,516581.37737174984,7152040.533040354
Electric heat pump,29448.916408668734,34047.13804713805,33529.675251959685,56345.52332912989,38333.333333333336,48647.61904761905,76560.4311008468,63409.298085688235,49078.81773399015,57127.81951219512,58268.28977272728,45664.6521433591,590461.5137666553
Electric non-heat pump,612905.572755418,614267.115600449,620298.9921612542,548088.2723833543,443133.3333333333,535123.8095238095,783912.2401847575,597632.6344576116,434438.4236453202,506430.39999999997,394431.49999999994,470916.7252283908,6561579.019273698
Space heat non-heat pump fraction,0.9541547277936963,0.9474835886214443,0.9487179487179487,0.9067796610169491,0.9203821656050956,0.9166666666666666,0.9110251450676982,0.9040767386091126,0.8984962406015038,0.8986301369863013,0.8712871287128713,0.9116022099447515,0.9174415314008786
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Has running hot water with piped gas water heater,692049.5356037151,700803.5914702582,862627.0996640536,884453.9722572509,766666.6666666666,797473.4693877551,1446326.404926867,1200020.96627165,1083369.4581280788,1122484.4536585365,1174330.1477272727,1635365.3548840478,12365971.120646153
 Has running hot water with LP gas water heater,36811.145510835915,29791.24579124579,24385.21836506159,22196.721311475412,24533.333333333332,20848.979591836738,33287.143956889915,42801.27620783956,12724.137931034482,33967.89268292683,34363.35037878788,47091.67252283907,362802.1175841066
Fuel oil,3681.114551083592,1418.6307519640854,0.0,0.0,1533.3333333333333,0.0,1664.3571978444957,1585.232452142206,1817.7339901477833,1543.9951219512195,0.0,1427.0203794799718,14671.417777946685
 Has running hot water with electric water heater,449095.97523219814,514962.9629629629,463319.1489361702,445641.8663303909,372600.0,453465.30612244894,669071.5935334873,481910.66545123066,359911.3300492611,418422.6780487805,363056.26704545453,331068.7280393535,5322526.521751737
Electric heat pump,4940.05572755418,5664.592592592592,5096.510638297872,4902.0605296343,4098.599999999999,4988.118367346938,7359.78752886836,5301.0173199635365,3959.024630541872,4602.649458536585,3993.6189374999994,3641.7560084328884,58547.79173926911
Electric non-heat pump,444155.91950464394,509298.37037037034,458222.6382978723,440739.8058007566,368501.4,448477.187755102,661711.8060046189,476609.6481312671,355952.30541871925,413820.0285902439,359062.64810795453,327426.9720309206,5263978.730012468
Water heat non-heat pump fraction,0.989,0.989,0.989,0.989,0.9890000000000001,0.989,0.9889999999999999,0.989,0.9890000000000001,0.989,0.989,0.989,0.989
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Piped gas,554007.7399380805,581638.608305275,708695.4087346024,723954.6027742749,633266.6666666666,653268.0272108844,1151735.180908391,990770.2825888786,896142.857142857,912501.1170731706,1005501.5132575758,1434155.4813773718,10245637.48597803
 LP gas (liquid propane),29448.916408668734,32628.507295173964,27433.370660694287,30733.921815889033,24533.333333333332,24323.809523809527,49930.715935334876,44386.508659981766,14541.871921182266,29335.907317073168,31375.232954545452,42810.61138439916,381482.7072100856
 Other,0.0,0.0,1524.0761478163495,1707.4401008827238,0.0,0.0,0.0,1585.232452142206,0.0,1543.9951219512195,0.0,0.0,6360.743822792499
 Electric,598181.1145510837,636965.2076318744,608106.3829787234,597604.0353089534,513666.6666666667,599408.1632653062,958669.7459584296,700672.743846855,559862.0689655172,637669.9853658536,540849.2537878788,550829.8664792691,7502485.234806411
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Working piped gas powered clothes dryer,255837.46130030957,279470.2581369248,394735.7222844345,379051.7023959647,351133.3333333333,347482.99319727893,730652.8098537338,634092.9808568824,598034.4827586206,594438.1219512195,640951.1875,863347.3295853831,6069228.383154085
 Working LP (liquefied petroleum) gas clothes dryer,12883.90092879257,8511.784511784512,10668.533034714446,3414.8802017654475,13800.0,8687.074829931973,18307.92917628945,14267.092069279855,1817.7339901477833,12351.960975609756,17928.704545454548,11416.163035839774,134055.75729961012
 Working electric power clothes dryer,401241.4860681115,444031.4253647587,509041.4333706607,580529.6343001261,481466.6666666666,653268.0272108844,1065188.6066204773,865536.9188696445,694374.3842364532,815229.424390244,793345.1761363635,1027454.6732255797,8330707.85645997
