HEATFUEL,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf,Total
 Piped gas,391418.65756541525,323376.92307692306,355573.37220602523,437518.7057633974,441014.81481481483,413912.30207064556,799226.507713885,531008.8845014807,507856.0794044665,580560.1941875826,651864.3487450463,809978.6947916667,6243309.484841349
 LP (liquid petroleum) gas,53485.77929465302,55892.307692307695,58911.56462585034,54406.47118301315,34759.78835978836,35682.09500609013,75140.95371669004,40682.13228035538,37374.68982630273,40038.634081902244,15947.751651254954,27059.421875,529381.589593208
Fuel oil/kerosene,21880.546075085324,37926.92307692308,44183.67346938775,40804.853387259864,36932.275132275136,45197.320341047496,40985.9747545582,42823.297137216185,39573.20099255584,26692.422721268165,27908.56538969617,23451.498958333334,428360.5514356065
 Electricity,1641040.9556313993,1638842.3076923077,1643211.8561710399,1675265.9251769464,1507705.82010582,1417768.574908648,2302045.582047686,1543779.8617966436,1182799.0074441687,1027658.2747688243,799381.0515191546,858685.6541666667,17238184.871429306
Electric heat pump,522701.9340159272,538961.5384615385,578595.7240038873,630208.2912032355,593088.8888888889,601838.0024360536,944954.4179523141,655196.4461994077,488069.4789081886,435976.23778071336,306994.21928665787,389655.675,6686240.8541368125
Electric non-heat pump,1118339.0216154722,1099880.7692307692,1064616.1321671526,1045057.6339737109,914616.9312169311,815930.5724725943,1357091.164095372,888583.4155972359,694729.52853598,591682.036988111,492386.8322324967,469029.9791666667,10551944.017292492
Space heat non-heat pump fraction,0.6814814814814815,0.6711327649208283,0.647887323943662,0.6238159675236807,0.6066282420749279,0.575503355704698,0.589515331355094,0.5755894590846047,0.5873605947955389,0.5757575757575758,0.6159600997506235,0.546218487394958,0.6121261661824594
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Has running hot water with piped gas water heater,447335.6086461888,367292.3076923077,418692.9057337221,457921.1324570273,464912.1693121693,428185.14007308165,867536.4656381487,623078.9733464955,536436.7245657569,658413.0937912815,719642.2932628798,865901.5,6855348.314519059
 Has running hot water with LP gas water heater,53485.77929465302,25950.0,23143.82896015549,20402.42669362993,26069.84126984127,23788.06333739342,45539.97194950911,36399.802566633756,24183.62282878412,35589.89696169089,31895.503302509907,50510.92083333334,396959.6579981342
Fuel oil,7293.515358361775,1996.1538461538462,2103.984450923226,6800.808897876644,4344.973544973545,9515.22533495737,6830.995792426367,8564.659427443237,15389.578163771714,11121.842800528402,1993.4689564068692,3607.9229166666664,79563.12949048966
 Has running hot water with electric water heater,1614298.0659840726,1666788.4615384615,1716851.3119533528,1750074.8230535896,1553328.0423280424,1484375.1522533495,2320261.5708274897,1496674.2349457059,1191593.0521091812,976497.7978863936,749544.3276089828,808174.7333333334,17328461.573821954
Electric heat pump,17757.2787258248,18334.673076923074,18885.36443148688,19250.823053589484,17086.608465608468,16328.126674786845,25522.877279102384,16463.416584402763,13107.523573200991,10741.475776750329,8244.98760369881,8889.922066666666,190613.07731204148
Electric non-heat pump,1596540.7872582478,1648453.7884615385,1697965.9475218658,1730824.0,1536241.433862434,1468047.0255785626,2294738.6935483874,1480210.818361303,1178485.5285359803,965756.3221096433,741299.340005284,799284.8112666667,17137848.496509913
Water heat non-heat pump fraction,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.9890000000000001,0.989,0.989,0.989,0.989
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Piped gas,381693.97042093286,307407.6923076923,321909.62099125364,360442.8715874621,388875.1322751323,404397.07673568814,664883.5904628331,501032.57650542946,446297.76674937963,536072.8229854689,586079.8731836196,791939.0802083333,5691032.074413225
 LP gas (liquid propane),75366.32536973833,65873.07692307692,65223.51797862002,63474.216380182,49967.19576719577,57091.35200974421,79694.95091164095,55670.28627838105,57161.290322580644,37814.265521796566,43856.31704095112,70354.496875,721547.2913789075
 Other,2431.1717861205916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.9614583333332,4235.133244453925
 Electric,1655627.9863481228,1680761.5384615385,1763138.9698736637,1799947.4216380182,1609812.6984126985,1489132.7649208282,2495590.4628330995,1603732.4777887461,1264143.9205955334,1107735.542932629,877126.3408190225,864097.5385416667,18210847.66316557
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Working piped gas powered clothes dryer,63210.46643913538,45911.53846153846,63119.53352769679,77075.83417593528,47794.70899470899,52333.73934226553,159389.9018232819,94211.25370187561,92337.46898263028,113442.7965653897,103660.3857331572,147924.83958333335,1060412.4673309484
 Working LP (liquefied petroleum) gas clothes dryer,12155.858930602957,1996.1538461538462,12623.906705539359,2266.9362992922142,13034.920634920634,2378.8063337393423,13661.991584852734,12846.989141164857,13191.06699751861,8897.474240422722,3986.9379128137384,7215.845833333333,104256.88846035433
 Working electric power clothes dryer,1312832.7645051195,1367365.3846153845,1632691.9339164237,1829417.5935288172,1698884.656084656,1677058.4652862365,2789323.281907433,1920624.876604146,1585126.5508684863,1497000.0409511228,1345591.5455746367,1540583.0854166665,20196500.17925913
