HEATFUEL,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf,Total
 Piped gas,275500.0,313861.2244897959,366077.9220779221,434189.1891891892,316200.0,457200.0,701216.0278745645,452083.3333333334,489461.53846153844,415005.4943181818,336173.3333333333,305036.0828025478,4862004.145880407
 LP (liquid petroleum) gas,58773.333333333336,58122.448979591834,59961.03896103896,80270.27027027027,71400.0,80433.33333333333,83195.12195121951,102573.52941176471,71118.34319526628,47236.39772727273,24012.38095238095,48322.547770700636,785418.7458861726
Fuel oil/kerosene,3673.3333333333335,2906.1224489795923,3155.844155844156,7297.2972972972975,10200.0,4233.333333333334,3961.6724738675957,3799.0196078431372,0.0,6748.056818181818,4802.476190476191,0.0,50777.15565915645
 Electricity,202033.3333333333,319673.4693877551,280870.12987012987,255405.4054054054,214200.0,203200.0,320895.4703832753,193750.0,133869.82248520709,118090.99431818181,124864.38095238096,114766.05095541402,2481619.0570910824
Electric heat pump,18366.666666666668,17436.73469387755,25246.753246753247,32837.83783783784,20400.0,29633.333333333332,79233.44947735191,49387.25490196078,41834.319526627216,26992.227272727272,28814.85714285714,18120.955414012737,388304.3895140057
Electric non-heat pump,183666.66666666666,302236.7346938775,255623.37662337662,222567.56756756757,193800.0,173566.66666666666,241662.0209059234,144362.74509803922,92035.50295857986,91098.76704545453,96049.52380952382,96645.09554140127,2093314.6675770767
Space heat non-heat pump fraction,0.9090909090909092,0.9454545454545454,0.9101123595505618,0.8714285714285714,0.9047619047619048,0.8541666666666666,0.7530864197530864,0.7450980392156863,0.6874999999999999,0.7714285714285714,0.7692307692307693,0.8421052631578947,0.8435278015759717
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Has running hot water with piped gas water heater,242440.0,270269.387755102,343987.012987013,390405.40540540544,326400.0,410633.3333333333,625944.2508710802,410294.11764705885,476911.2426035503,377891.1818181818,331370.85714285716,289935.2866242038,4496482.076187785
 Has running hot water with LP gas water heater,51426.66666666667,23248.979591836738,31558.44155844156,43783.78378378379,47600.0,63500.0,59425.08710801394,79779.41176470587,41834.319526627216,47236.39772727273,9604.952380952382,39262.070063694264,538260.1101719951
Fuel oil,0.0,0.0,0.0,0.0,0.0,4233.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,4233.333333333334
 Has running hot water with electric water heater,249786.66666666666,415575.51020408166,353454.54545454547,375810.81081081077,255000.0,279400.0,451630.66202090593,284926.4705882353,184071.00591715975,168701.42045454547,163284.19047619047,141947.48407643312,3323588.766669574
Electric heat pump,2747.653333333333,4571.330612244898,3888.0,4133.918918918918,2805.0,3073.3999999999996,4967.937282229965,3134.1911764705883,2024.7810650887573,1855.715625,1796.126095238095,1561.4223248407643,36559.476433365315
Electric non-heat pump,247039.0133333333,411004.17959183676,349566.54545454547,371676.89189189184,252195.0,276326.6,446662.724738676,281792.2794117647,182046.224852071,166845.70482954546,161488.0643809524,140386.06175159235,3287029.290236209
Water heat non-heat pump fraction,0.9889999999999999,0.989,0.989,0.989,0.989,0.9889999999999999,0.989,0.989,0.989,0.9889999999999999,0.9890000000000001,0.989,0.9890000000000001
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Piped gas,128566.66666666667,104620.40816326531,176727.27272727274,171486.48648648648,102000.0,169333.3333333333,277317.0731707317,182352.94117647057,167337.27810650886,175449.4772727273,158481.7142857143,166108.75796178344,1979781.4093509605
 LP gas (liquid propane),25713.333333333336,34873.4693877551,37870.12987012987,36486.48648648649,40800.0,46566.666666666664,31693.379790940766,45588.23529411764,33467.45562130177,26992.227272727272,9604.952380952382,21141.114649681527,390797.45075409283
 Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Electric,393046.6666666667,572506.1224489795,511246.75324675324,598378.3783783783,482800.0,546100.0,827989.5470383276,547058.8235294118,506195.2662721893,391387.2954545454,336173.3333333333,286915.127388535,5999797.313757119
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Working piped gas powered clothes dryer,36733.333333333336,37779.59183673469,85207.79220779221,76621.62162162163,57800.0,55033.33333333333,138658.53658536586,136764.70588235295,133869.82248520709,118090.99431818181,96049.5238095238,120806.3694267516,1093415.6248401983
 Working LP (liquefied petroleum) gas clothes dryer,0.0,5812.2448979591845,9467.532467532468,0.0,6800.0,4233.333333333334,19808.362369337978,0.0,8366.863905325443,20244.170454545452,4802.476190476191,15100.79617834395,94635.779796854
 Working electric power clothes dryer,312233.3333333333,374889.79591836734,482844.1558441558,605675.6756756757,482800.0,626533.3333333333,895337.9790940767,623039.2156862746,531295.8579881657,452119.8068181818,398605.5238095238,332217.5159235669,6117592.193424655
