HEATFUEL,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf,Total
 Piped gas,362078.81773399014,292976.43097643094,269692.0583468395,299249.20127795526,374145.0777202073,267362.83185840707,601672.5978647687,433390.1192504259,368666.6666666667,387650.6608478803,432545.38749999995,506675.3028846154,4596105.152928187
 LP (liquid petroleum) gas,10128.07881773399,27400.6734006734,33711.50729335494,34265.17571884984,21502.59067357513,19097.34513274336,43138.79003558719,19502.555366269164,33515.15151515151,19262.14463840399,29012.190625000003,19571.14903846154,310107.3522558041
Fuel oil/kerosene,10128.07881773399,6323.232323232323,0.0,6853.035143769967,2150.259067357513,7161.504424778761,9081.85053380783,2166.9505962521293,2393.939393939394,0.0,5274.94375,2174.5721153846157,53708.36616625652
 Electricity,1149536.945812808,912653.1986531985,986061.5883306322,1078210.8626198084,845051.8134715025,785378.3185840708,1255565.8362989323,814773.4241908008,622424.2424242424,556194.4264339152,374521.00625,374026.4038461538,9754398.066916065
Electric heat pump,88620.6896551724,73771.04377104377,101134.52188006484,98226.83706070288,96761.65803108808,88325.22123893806,147580.07117437723,127850.08517887563,67030.30303030302,77048.57855361595,81761.628125,60888.01923076923,1108998.656929951
Electric non-heat pump,1060916.2561576355,838882.1548821548,884927.0664505673,979984.0255591056,748290.1554404144,697053.0973451327,1107985.7651245552,686923.3390119252,555393.9393939395,479145.8478802992,292759.378125,313138.38461538457,8645399.409986114
Space heat non-heat pump fraction,0.9229074889867841,0.9191685912240185,0.8974358974358975,0.9088983050847458,0.8854961832061069,0.8875379939209727,0.8824593128390598,0.8430851063829788,0.8923076923076924,0.8614718614718615,0.7816901408450705,0.8372093023255813,0.8863078327004784
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Has running hot water with piped gas water heater,498807.881773399,438410.7744107744,440356.56401944894,463722.04472843447,475207.2538860104,441626.1061946903,778768.6832740214,550405.4514480409,512303.0303030303,483961.3840399002,522219.43125,602356.4759615384,6208145.081289289
 Has running hot water with LP gas water heater,22788.17733990148,33723.90572390572,33711.50729335494,34265.17571884984,27953.36787564767,19097.34513274336,49950.17793594306,21669.505962521293,26333.333333333332,21669.91271820449,36924.60625,23920.29326923077,352007.30855363596
Fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Has running hot water with electric water heater,997615.763546798,777757.5757575758,821717.9902755268,932012.7795527157,739689.1191709845,618276.5486725663,1083010.6761565835,697758.0919931857,488363.63636363635,459883.70324189524,284846.9625,278345.2307692308,8179278.078000699
Electric heat pump,10973.773399014777,8555.333333333334,9038.897893030793,10252.140575079873,8136.580310880829,6801.042035398229,11913.117437722418,7675.3390119250425,5372.0,5058.720735660848,3133.3165875,3061.797538461539,89972.05885800769
Electric non-heat pump,986641.9901477832,769202.2424242424,812679.092382496,921760.6389776359,731552.5388601037,611475.5066371681,1071097.558718861,690082.7529812607,482991.63636363635,454824.9825062344,281713.64591250004,275283.4332307693,8089306.019142691
Water heat non-heat pump fraction,0.989,0.989,0.989,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.989,0.989,0.989,0.989,0.9890000000000001,0.9890000000000001,0.989
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Piped gas,455763.5467980296,356208.75420875417,345542.9497568882,351789.1373801917,395647.66839378234,322267.69911504426,569886.1209964412,446391.82282793865,387818.1818181818,402097.26932668325,385070.89375,506675.3028846154,4925159.34725655
 LP gas (liquid propane),35448.275862068964,44262.62626262626,44246.35332252836,41118.21086261981,38704.66321243523,35807.52212389381,47679.7153024911,21669.505962521293,14363.636363636364,33708.75311720698,34287.134375,34793.15384615385,426089.5506131821
 Other,0.0,0.0,2106.9692058346836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.9692058346836
 Electric,1050788.1773399014,843097.6430976432,905996.7585089142,1034808.3067092652,806347.1502590673,720924.778761062,1294163.7010676158,801771.720613288,624818.1818181819,529708.9775561098,419358.028125,363153.5432692308,9394936.967125278
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Working piped gas powered clothes dryer,68364.53201970443,90632.99663299664,90599.6758508914,89089.45686900958,109663.21243523316,124132.74336283185,224775.80071174377,166855.19591141396,112515.1515151515,166135.99750623442,152973.36875,189187.77403846153,1584925.9056036721
 Working LP (liquefied petroleum) gas clothes dryer,5064.039408866995,6323.232323232323,2106.9692058346836,0.0,2150.259067357513,2387.16814159292,15893.238434163699,8667.802385008517,4787.878787878788,4815.536159600997,7912.415625,8698.288461538463,68806.82800007491
 Working electric power clothes dryer,921655.1724137932,813589.2255892257,889141.0048622366,1078210.8626198084,986968.9119170984,849831.8584070796,1546185.0533807827,1048804.0885860305,890545.4545454545,784932.3940149626,675192.8,698037.6490384616,11183094.475374933
